주문일,배송방식,고객명,고객분류,시군구,시도,지역,제품대분류,제품소분류,이름,매출,수량,할인율,이익
2020.12.6,표준등급,Irene Maddox,개인고객,중구,서울,수도권,사무용품,바인더,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
2020.11.22,표준등급,Harold Pawlan,홈오피스,광명시,경기도,수도권,사무용품,가정용 전자기기,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
2020.11.22,표준등급,Harold Pawlan,홈오피스,광명시,경기도,수도권,사무용품,바인더,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
2019.11.11,표준등급,Pete Kriz,개인고객,세종특별자치시,세종특별자치시,충청,사무용품,저장고,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
2019.8.27,2등급,Zuschuss Donatelli,개인고객,서초구,서울,수도권,사무용품,아트,Newell 341,8.56,2,0,2.4824
2019.8.27,2등급,Zuschuss Donatelli,개인고객,서초구,서울,수도권,전자제품,전화기,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
2019.8.27,2등급,Zuschuss Donatelli,개인고객,서초구,서울,수도권,사무용품,바인더,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
2019.7.17,2등급,Sandra Flanagan,개인고객,양산시,경상남도,경상,가구,의자,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
2020.1.16,2등급,Eric Hoffmann,개인고객,송파구,서울,수도권,사무용품,바인더,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
2020.1.16,2등급,Eric Hoffmann,개인고객,송파구,서울,수도권,전자제품,액세서리,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
2020.9.17,표준등급,Tracy Blumstein,개인고객,양산시,경상남도,경상,가구,책장,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
2020.9.17,표준등급,Tracy Blumstein,개인고객,양산시,경상남도,경상,사무용품,바인더,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
2020.9.17,표준등급,Tracy Blumstein,개인고객,양산시,경상남도,경상,가구,기타 가구,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
2020.9.17,표준등급,Tracy Blumstein,개인고객,양산시,경상남도,경상,사무용품,봉투,Poly String Tie Envelopes,3.264,2,0.2,1.1016
2020.9.17,표준등급,Tracy Blumstein,개인고객,양산시,경상남도,경상,사무용품,아트,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
2020.9.17,표준등급,Tracy Blumstein,개인고객,양산시,경상남도,경상,사무용품,바인더,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
2020.9.17,표준등급,Tracy Blumstein,개인고객,양산시,경상남도,경상,사무용품,아트,Lumber Crayons,15.76,2,0.2,3.546
2019.10.20,2등급,Matt Abelman,홈오피스,안산시,경기도,수도권,사무용품,종이,Easy-staple paper,29.472,3,0.2,9.9468
2020.12.9,1등급,Gene Hale,기업고객,성남시,경기도,수도권,전자제품,전화기,GE 30524EE4,1097.544,7,0.2,123.4737
2020.12.9,1등급,Gene Hale,기업고객,성남시,경기도,수도권,가구,기타 가구,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
2020.12.27,표준등급,Steve Nguyen,홈오피스,안산시,경기도,수도권,사무용품,봉투,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
2020.12.27,표준등급,Steve Nguyen,홈오피스,안산시,경기도,수도권,가구,책장,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
2020.12.27,표준등급,Steve Nguyen,홈오피스,안산시,경기도,수도권,가구,의자,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
2020.12.27,표준등급,Steve Nguyen,홈오피스,안산시,경기도,수도권,전자제품,전화기,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
2019.9.11,표준등급,Linda Cazamias,기업고객,옹진군,인천광역시,특별광역시,전자제품,전화기,Panasonic Kx-TS550,147.168,4,0.2,16.5564
2020.7.18,표준등급,Ruben Ausman,기업고객,송파구,서울,수도권,사무용품,저장고,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
2019.9.20,표준등급,Erin Smith,기업고객,거창군,경상남도,경상,사무용품,저장고,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
2019.10.20,2등급,Patrick O'Donnell,개인고객,북구,부산,특별광역시,사무용품,저장고,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
2020.4.18,표준등급,Darren Powers,개인고객,양양군,강원도,강원,사무용품,바인더,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
2020.4.18,표준등급,Darren Powers,개인고객,양양군,강원도,강원,사무용품,라벨,Avery 485,75.18,6,0,35.3346
2020.4.18,표준등급,Darren Powers,개인고객,양양군,강원도,강원,가구,기타 가구,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
2020.4.18,표준등급,Darren Powers,개인고객,양양군,강원도,강원,가구,의자,"Global Leather Task Chair, Black",89.99,1,0,17.0981
2020.12.12,표준등급,Janet Molinari,기업고객,성남시,경기도,수도권,사무용품,잠금장치,Advantus Push Pins,15.26,7,0,6.2566
2020.12.12,표준등급,Janet Molinari,기업고객,성남시,경기도,수도권,전자제품,전화기,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
2020.6.18,1등급,Ted Butterfield,개인고객,남양주시,경기도,수도권,사무용품,저장고,Home/Office Personal File Carts,208.56,6,0,52.14
2020.6.18,1등급,Ted Butterfield,개인고객,남양주시,경기도,수도권,사무용품,종이,Xerox 232,32.4,5,0,15.552
2020.6.18,1등급,Ted Butterfield,개인고객,남양주시,경기도,수도권,가구,의자,Novimex Turbo Task Chair,319.41,5,0.1,7.098
2020.6.18,1등급,Ted Butterfield,개인고객,남양주시,경기도,수도권,사무용품,종이,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
2020.6.18,1등급,Ted Butterfield,개인고객,남양주시,경기도,수도권,전자제품,액세서리,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
2020.6.18,1등급,Ted Butterfield,개인고객,남양주시,경기도,수도권,사무용품,바인더,Plastic Binding Combs,48.48,4,0.2,16.362
2020.6.18,1등급,Ted Butterfield,개인고객,남양주시,경기도,수도권,사무용품,아트,Prang Dustless Chalk Sticks,1.68,1,0,0.84
2020.11.24,표준등급,Kunst Miller,개인고객,송파구,서울,수도권,전자제품,액세서리,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
2020.11.24,표준등급,Kunst Miller,개인고객,송파구,서울,수도권,사무용품,바인더,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
2020.11.24,표준등급,Kunst Miller,개인고객,송파구,서울,수도권,사무용품,종이,Xerox 1943,146.73,3,0,68.9631
2020.11.24,표준등급,Kunst Miller,개인고객,송파구,서울,수도권,가구,기타 가구,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
2020.4.30,표준등급,Paul Stevenson,홈오피스,남동구,인천광역시,특별광역시,가구,의자,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
2019.12.5,표준등급,Brendan Sweed,기업고객,제주시,제주,제주,사무용품,아트,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
2019.12.5,표준등급,Brendan Sweed,기업고객,제주시,제주,제주,전자제품,전화기,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
2020.6.5,1등급,Karen Daniels,개인고객,유성구,대전,특별광역시,사무용품,종이,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
2020.9.19,표준등급,Henry MacAllister,개인고객,성남시,경기도,수도권,사무용품,바인더,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
2019.9.15,2등급,Tracy Blumstein,개인고객,서구,부산,특별광역시,사무용품,종이,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
2019.12.10,1등급,Ken Brennan,기업고객,안산시,경기도,수도권,사무용품,바인더,Economy Binders,1.248,3,0.8,-1.9344
2019.12.10,1등급,Ken Brennan,기업고객,안산시,경기도,수도권,가구,기타 가구,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
2019.12.10,1등급,Ken Brennan,기업고객,안산시,경기도,수도권,사무용품,저장고,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
2019.11.26,2등급,Joel Eaton,개인고객,안산시,경기도,수도권,가구,기타 가구,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
2019.10.12,표준등급,Duane Noonan,개인고객,서초구,서울,수도권,사무용품,아트,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
2019.10.12,표준등급,Duane Noonan,개인고객,서초구,서울,수도권,사무용품,저장고,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
2020.9.3,표준등급,Julie Creighton,기업고객,무주군,전라북도,전라,사무용품,봉투,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
2019.11.14,1등급,Christopher Schild,홈오피스,남동구,인천광역시,특별광역시,사무용품,저장고,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
2020.4.6,2등급,Gary Mitchum,홈오피스,안산시,경기도,수도권,사무용품,저장고,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
2020.9.18,표준등급,Jim Sink,기업고객,송파구,서울,수도권,사무용품,아트,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
2020.9.18,표준등급,Jim Sink,기업고객,송파구,서울,수도권,전자제품,전화기,Panasonic Kx-TS550,73.584,2,0.2,8.2782
2020.9.18,표준등급,Jim Sink,기업고객,송파구,서울,수도권,사무용품,종이,Xerox 1995,6.48,1,0,3.1104
2019.11.10,2등급,Parhena Norris,홈오피스,성남시,경기도,수도권,가구,기타 가구,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
2019.6.18,1등급,Katherine Ducich,개인고객,서초구,서울,수도권,사무용품,바인더,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
2020.8.30,표준등급,Rick Bensley,홈오피스,남동구,인천광역시,특별광역시,사무용품,종이,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
2020.8.30,표준등급,Rick Bensley,홈오피스,남동구,인천광역시,특별광역시,전자제품,액세서리,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
2020.8.30,표준등급,Rick Bensley,홈오피스,남동구,인천광역시,특별광역시,사무용품,바인더,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
2019.11.24,표준등급,Janet Martin,개인고객,전주시,전라북도,전라,전자제품,액세서리,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
2019.11.24,표준등급,Janet Martin,개인고객,전주시,전라북도,전라,전자제품,전화기,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
2019.11.24,표준등급,Janet Martin,개인고객,전주시,전라북도,전라,사무용품,아트,Newell Chalk Holder,3.304,1,0.2,1.0738
2020.10.15,표준등급,Pete Armstrong,홈오피스,성주군,경상북도,경상,전자제품,액세서리,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992
2019.12.26,표준등급,Cynthia Voltz,기업고객,성남시,경기도,수도권,가구,기타 가구,Magnifier Swing Arm Lamp,41.96,2,0,10.9096
2019.8.25,2등급,Ryan Crowe,개인고객,중구,서울,수도권,사무용품,잠금장치,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348
2019.8.25,2등급,Ryan Crowe,개인고객,중구,서울,수도권,사무용품,봉투,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652
2019.8.25,2등급,Ryan Crowe,개인고객,중구,서울,수도권,사무용품,종이,Xerox 1921,23.976,3,0.2,7.4925
2019.8.25,2등급,Ryan Crowe,개인고객,중구,서울,수도권,사무용품,봉투,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316
2020.3.2,표준등급,Dave Kipp,개인고객,중구,서울,수도권,가구,테이블,Hon Racetrack Conference Tables,787.53,3,0,165.3813
2019.12.26,2등급,Alan Dominguez,홈오피스,안산시,경기도,수도권,가구,의자,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
2019.9.20,표준등급,Philip Fox,개인고객,칠곡군,경상북도,경상,가구,테이블,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
2019.11.6,표준등급,Troy Staebel,개인고객,제주시,제주,제주,사무용품,바인더,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308
2019.11.6,표준등급,Troy Staebel,개인고객,제주시,제주,제주,사무용품,저장고,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499
2020.11.7,2등급,Lindsay Shagiari,홈오피스,송파구,서울,수도권,가구,의자,"Global Task Chair, Black",81.424,2,0.2,-9.1602
2020.11.7,2등급,Lindsay Shagiari,홈오피스,송파구,서울,수도권,가구,기타 가구,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416
2019.2.3,1등급,Dorothy Wardle,기업고객,중구,서울,수도권,전자제품,전화기,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994
2019.2.3,1등급,Dorothy Wardle,기업고객,중구,서울,수도권,사무용품,종이,Xerox 1916,78.304,2,0.2,29.364
2019.2.3,1등급,Dorothy Wardle,기업고객,중구,서울,수도권,사무용품,잠금장치,Staples,21.456,9,0.2,6.9732
2020.10.14,표준등급,Lena Creighton,개인고객,은평구,서울,수도권,사무용품,종이,Xerox 195,20.04,3,0,9.6192
2020.10.14,표준등급,Lena Creighton,개인고객,은평구,서울,수도권,사무용품,종이,Xerox 1880,35.44,1,0,16.6568
2020.10.14,표준등급,Lena Creighton,개인고객,은평구,서울,수도권,사무용품,아트,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0,3.456
2020.10.14,표준등급,Lena Creighton,개인고객,은평구,서울,수도권,사무용품,잠금장치,Ideal Clamps,4.02,2,0,1.9698
2020.10.14,표준등급,Lena Creighton,개인고객,은평구,서울,수도권,사무용품,바인더,GBC Wire Binding Strips,76.176,3,0.2,26.6616
2020.10.14,표준등급,Lena Creighton,개인고객,은평구,서울,수도권,사무용품,소모품,Fiskars Softgrip Scissors,65.88,6,0,18.4464
2020.10.14,표준등급,Lena Creighton,개인고객,은평구,서울,수도권,가구,기타 가구,Longer-Life Soft White Bulbs,43.12,14,0,20.6976
2020.9.6,2등급,Jonathan Doherty,기업고객,양산시,경상남도,경상,가구,기타 가구,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35
2019.9.19,표준등급,Sally Hughsby,기업고객,서초구,서울,수도권,사무용품,아트,Newell 343,8.82,3,0,2.3814
2019.9.19,표준등급,Sally Hughsby,기업고객,서초구,서울,수도권,사무용품,봉투,Convenience Packs of Business Envelopes,10.86,3,0,5.1042
2019.9.19,표준등급,Sally Hughsby,기업고객,서초구,서울,수도권,사무용품,종이,Xerox 1911,143.7,3,0,68.976
2020.9.7,표준등급,Helen Andreada,개인고객,성북구,서울,수도권,사무용품,저장고,Safco Industrial Wire Shelving,671.93,7,0,20.1579
2019.10.22,표준등급,Maureen Gastineau,홈오피스,대덕구,대전,특별광역시,가구,기타 가구,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096
2020.12.6,표준등급,Justin Ellison,기업고객,세종특별자치시,세종특별자치시,충청,전자제품,전화기,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0,103.8015
2020.12.6,표준등급,Justin Ellison,기업고객,세종특별자치시,세종특별자치시,충청,전자제품,전화기,Anker Astro 15000mAh USB Portable Charger,149.97,3,0,5.9988
2020.12.6,표준등급,Justin Ellison,기업고객,세종특별자치시,세종특별자치시,충청,가구,의자,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0,585.552
2020.12.6,표준등급,Justin Ellison,기업고객,세종특별자치시,세종특별자치시,충청,사무용품,바인더,GBC Prestige Therm-A-Bind Covers,171.55,5,0,80.6285
2020.3.14,1등급,Tamara Willingham,홈오피스,서귀포시,제주,제주,사무용품,가정용 전자기기,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766
2020.3.14,1등급,Tamara Willingham,홈오피스,서귀포시,제주,제주,전자제품,전화기,Jabra BIZ 2300 Duo QD Duo Corded Headset,203.184,2,0.2,15.2388
2020.5.31,1등급,Stephanie Phelps,기업고객,강동구,서울,수도권,사무용품,종이,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0,26.271
2020.5.31,1등급,Stephanie Phelps,기업고객,강동구,서울,수도권,사무용품,종이,Xerox 1883,105.52,4,0,48.5392
2020.5.31,1등급,Stephanie Phelps,기업고객,강동구,서울,수도권,사무용품,저장고,"Tenex Personal Project File with Scoop Front Design, Black",80.88,6,0,21.0288
2020.5.28,표준등급,Neil Knudson,홈오피스,중구,서울,수도권,사무용품,아트,Newell 311,6.63,3,0,1.7901
2019.3.1,2등급,Dave Brooks,개인고객,중구,서울,수도권,가구,의자,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764
2020.5.12,1등급,Ted Trevino,개인고객,송파구,서울,수도권,사무용품,종이,Xerox 1920,5.98,1,0,2.691
2020.12.28,2등급,Eric Murdock,개인고객,양산시,경상남도,경상,전자제품,액세서리,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596
2020.11.8,표준등급,Max Jones,개인고객,중구,서울,수도권,사무용품,바인더,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688
2019.9.8,표준등급,Becky Martin,개인고객,용인시,경기도,수도권,사무용품,아트,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324
2019.9.8,표준등급,Becky Martin,개인고객,용인시,경기도,수도권,전자제품,기계,Lexmark MX611dhe Monochrome Laser Printer,8159.952,8,0.4,-1359.992
2019.9.8,표준등급,Becky Martin,개인고객,용인시,경기도,수도권,사무용품,저장고,Space Solutions HD Industrial Steel Shelving.,275.928,3,0.2,-58.6347
2019.9.8,표준등급,Becky Martin,개인고객,용인시,경기도,수도권,가구,의자,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858
2019.9.8,표준등급,Becky Martin,개인고객,용인시,경기도,수도권,사무용품,아트,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136
2019.9.8,표준등급,Becky Martin,개인고객,용인시,경기도,수도권,사무용품,가정용 전자기기,Kensington 7 Outlet MasterPiece Power Center,177.98,5,0.8,-453.849
2019.9.8,표준등급,Becky Martin,개인고객,용인시,경기도,수도권,전자제품,전화기,JBL Micro Wireless Portable Bluetooth Speaker,143.976,3,0.2,8.9985
2019.8.5,표준등급,Chad Sievert,개인고객,송파구,서울,수도권,사무용품,종이,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3,0,9.8418
2019.8.5,표준등급,Chad Sievert,개인고객,송파구,서울,수도권,사무용품,종이,Xerox 1913,110.96,2,0,53.2608
2019.8.5,표준등급,Chad Sievert,개인고객,송파구,서울,수도권,가구,의자,"Global Value Steno Chair, Gray",340.144,7,0.2,21.259
2019.9.14,표준등급,Jennifer Braxton,기업고객,남동구,인천광역시,특별광역시,사무용품,가정용 전자기기,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,52.448,2,0.8,-131.12
2019.9.14,표준등급,Jennifer Braxton,기업고객,남동구,인천광역시,특별광역시,사무용품,라벨,Avery 51,20.16,4,0.2,6.552
2019.4.22,2등급,Shirley Jackson,개인고객,안산시,경기도,수도권,사무용품,가정용 전자기기,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,0.8,-243.16
2020.11.21,2등급,Joel Eaton,개인고객,대덕구,대전,특별광역시,가구,의자,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.3,-11.3372
2020.11.21,2등급,Joel Eaton,개인고객,대덕구,대전,특별광역시,사무용품,소모품,Acme Rosewood Handle Letter Opener,15.88,5,0.2,-3.7715
2020.12.15,표준등급,Jim Kriz,홈오피스,성남시,경기도,수도권,사무용품,아트,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,0,1.4104
2019.12.5,2등급,David Kendrick,기업고객,중구,서울,수도권,사무용품,저장고,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,1.8612
2019.12.5,2등급,David Kendrick,기업고객,중구,서울,수도권,전자제품,액세서리,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,408.744,7,0.2,76.6395
2019.8.26,표준등급,Frank Merwin,홈오피스,송파구,서울,수도권,전자제품,액세서리,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8,0,22.984
2020.7.17,표준등급,Alice McCarthy,기업고객,포천시,경기도,수도권,사무용품,저장고,"Personal Filing Tote with Lid, Black/Gray",37.224,3,0.2,3.7224
2020.7.17,표준등급,Alice McCarthy,기업고객,포천시,경기도,수도권,사무용품,종이,Southworth 25% Cotton Antique Laid Paper & Envelopes,20.016,3,0.2,6.255
2020.10.12,1등급,Mark Packer,홈오피스,성남시,경기도,수도권,가구,책장,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,0.2,112.392
2020.10.12,1등급,Mark Packer,홈오피스,성남시,경기도,수도권,전자제품,전화기,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,71.76,6,0,20.0928
2020.10.12,1등급,Mark Packer,홈오피스,성남시,경기도,수도권,사무용품,종이,Xerox 205,51.84,8,0,24.8832
2020.10.12,1등급,Mark Packer,홈오피스,성남시,경기도,수도권,가구,책장,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,0.2,46.9764
2020.10.12,1등급,Mark Packer,홈오피스,성남시,경기도,수도권,사무용품,아트,4009 Highlighters by Sanford,19.9,5,0,6.567
2020.10.31,표준등급,Mary Zewe,기업고객,강서구,서울,수도권,사무용품,봉투,Poly String Tie Envelopes,14.28,7,0,6.7116
2019.3.21,표준등급,Cassandra Brandow,개인고객,남구,부산,특별광역시,사무용품,아트,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,0.2,1.2038
2019.3.21,표준등급,Cassandra Brandow,개인고객,남구,부산,특별광역시,사무용품,아트,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048,3,0.2,1.5876
2019.11.7,표준등급,Valerie Mitchum,홈오피스,증평군,충청북도,충청,사무용품,저장고,Decoflex Hanging Personal Folder File,46.26,3,0,12.0276
2019.7.7,표준등급,Fred Hopkins,기업고객,양산시,경상남도,경상,사무용품,바인더,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,0.7,-2.2586
2019.7.7,표준등급,Fred Hopkins,기업고객,양산시,경상남도,경상,사무용품,종이,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,0.2,5.8203
2019.6.25,표준등급,Maria Bertelson,개인고객,연제구,부산,특별광역시,사무용품,종이,Southworth 25% Cotton Linen-Finish Paper & Envelopes,21.744,3,0.2,6.795
2019.12.18,2등급,Logan Currie,개인고객,용인시,경기도,수도권,사무용품,가정용 전자기기,Eureka Sanitaire  Commercial Upright,66.284,2,0.8,-178.9668
2019.12.10,표준등급,Laurel Elliston,개인고객,강남구,서울,수도권,전자제품,전화기,Nortel Business Series Terminal T7208 Digital phone,444.768,4,0.2,44.4768
2019.12.2,표준등급,Joseph Holt,개인고객,청양군,충청남도,충청,사무용품,저장고,"Tennsco Lockers, Gray",83.92,4,0,5.8744
2019.12.2,표준등급,Joseph Holt,개인고객,청양군,충청남도,충청,전자제품,전화기,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,131.98,2,0,35.6346
2019.12.2,표준등급,Joseph Holt,개인고객,청양군,충청남도,충청,사무용품,바인더,"Avery Durable Slant Ring Binders, No Labels",15.92,4,0,7.4824
2019.12.2,표준등급,Joseph Holt,개인고객,청양군,충청남도,충청,사무용품,잠금장치,"Advantus Push Pins, Aluminum Head",52.29,9,0,16.2099
2019.12.2,표준등급,Joseph Holt,개인고객,청양군,충청남도,충청,사무용품,저장고,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,0,3.6796
2020.2.9,2등급,Michael Stewart,기업고객,용인시,경기도,수도권,전자제품,액세서리,Memorex Micro Travel Drive 8 GB,20.8,2,0.2,6.5
